Sentence #,Word,POS,Tag
,(,(,O
,first,JJ,O
,officer,NN,O
,'s,POS,O
,instrument,NN,B-component
,panel,NN,I-component
,),),O
,for,IN,O
,the,DT,O
,applicable,JJ,O
,outlet,NN,B-component
,(,(,O
,FOOT,NNP,O
,AIR,NNP,O
,or,CC,O
,WINDSHIELD,NNP,B-component
,AIR,NNP,O
,),),O
,.,.,O
Sentence: 11,If,IN,O
,the,DT,O
,air,NN,O
,flow,NN,O
,from,IN,O
,the,DT,O
,applicable,JJ,O
,air,NN,B-component
,outlet,NN,I-component
,is,VBZ,O
,satisfactory,JJ,O
,",",",",O
,then,RB,O
,there,EX,O
,was,VBD,O
,an,DT,O
,intermittent,JJ,O
,fault,NN,O
,.,.,O
Sentence: 12,If,IN,O
,the,DT,O
,air,NN,O
,flow,NN,O
,from,IN,O
,the,DT,O
,applicable,JJ,O
,air,NN,B-component
,outlet,NN,I-component
,is,VBZ,O
,not,RB,O
,satisfactory,JJ,O
,",",",",O
,then,RB,O
,do,VBP,O
,the,DT,O
,Fault,NNP,O
,Isolation,NNP,O
,Procedure,NNP,O
,below,IN,O
,.,.,O
Sentence: 13,Do,VBP,O
,these,DT,O
,steps,NNS,O
,to,TO,O
,do,VB,O
,a,DT,O
,check,NN,O
,of,IN,O
,the,DT,O
,other,JJ,O
,air,NN,O
,distribution,NN,O
,outlets,NNS,B-component
,in,IN,O
,the,DT,O
,flight,NN,B-component
,compartment,NN,I-component
,.,.,O
Sentence: 14,Examine,NNP,O
,all,DT,O
,of,IN,O
,the,DT,O
,other,JJ,O
,air,NN,O
,distribution,NN,O
,outlets,NNS,B-component
,in,IN,O
,the,DT,O
,flight,NN,B-component
,compartment,NN,I-component
,for,IN,O
,satisfactory,JJ,O
,airflow,NN,O
,.,.,O
Sentence: 15,If,IN,O
,you,PRP,O
,find,VBP,O
,that,IN,O
,all,DT,O
,of,IN,O
,the,DT,O
,other,JJ,O
,air,NN,O
,distribution,NN,O
,outlets,NNS,B-component
,in,IN,O
,the,DT,O
,flight,NN,B-component
,compartment,NN,I-component
,do,VBP,O
,not,RB,O
,have,VB,O
,satisfactory,JJ,O
,air,NN,O
,flow,NN,O
,",",",",O
,then,RB,O
,do,VBP,O
,this,DT,O
,task,NN,O
,:,:,O
,Low,NNP,O
,Conditioned,NNP,O
,Air,NNP,O
,Flow,NNP,O
,to,TO,O
,the,DT,O
,Flight,NNP,B-component
,Deck,NNP,I-component
,-,:,O
,Fault,NNP,O
,Isolation,NNP,O
,",",",",O
,21,CD,O
,-,:,O
,22,CD,O
,TASK,NNP,O
,802,CD,O
,.,.,O
Sentence: 16,If,IN,O
,all,DT,O
,of,IN,O
,the,DT,O
,other,JJ,O
,air,NN,O
,distribution,NN,O
,outlets,NNS,B-component
,in,IN,O
,the,DT,O
,flight,NN,B-component
,compartment,NN,I-component
,have,VBP,O
,satisfactory,JJ,O
,air,NN,O
,flow,NN,O
,",",",",O
,then,RB,O
,continue,VB,O
,.,.,O
Sentence: 17,Do,VBP,O
,these,DT,O
,steps,NNS,O
,to,TO,O
,do,VB,O
,a,DT,O
,check,NN,O
,of,IN,O
,the,DT,O
,cables,NNS,B-component
,for,IN,O
,the,DT,O
,applicable,JJ,O
,windshield,NN,B-component
,and,CC,O
,foot,NN,B-component
,air,NN,I-component
,outlet,NN,I-component
,valve,NN,B-null
,.,.,O
Sentence: 18,To,TO,O
,get,VB,O
,access,NN,O
,to,TO,O
,the,DT,O
,captain,NN,O
,'s,POS,O
,windshield,NN,B-component
,and,CC,O
,foot,NN,B-component
,air,NN,I-component
,outlet,NN,I-component
,valve,NN,B-null
,and,CC,O
,cables,NNS,B-component
,",",",",O
,remove,VB,O
,the,DT,O
,display,NN,O
,units,NNS,O
,on,IN,O
,the,DT,O
,captain,NN,O
,'s,POS,O
,instrument,NN,B-component
,panel,NN,I-component
,(,(,O
,P,NN,O
,1,LS,O
,),),O
,.,.,O
Sentence: 19,To,TO,O
,get,VB,O
,access,NN,O
,to,TO,O
,the,DT,O
,first,JJ,O
,officer,NN,O
,'s,POS,O
,windshield,NN,B-component
,and,CC,O
,foot,NN,B-component
,air,NN,I-component
,outlet,NN,I-component
,valve,NN,B-null
,and,CC,O
,cables,NNS,B-component
,",",",",O
,remove,VB,O
,the,DT,O
,display,NN,O
,units,NNS,O
,on,IN,O
,the,DT,O
,first,JJ,O
,officer,NN,O
,'s,POS,O
,instrument,NN,B-component
,panel,NN,I-component
,(,(,O
,P,NN,O
,3,LS,O
,),),O
,.,.,O
Sentence: 20,Do,VBP,O
,a,DT,O
,check,NN,O
,to,TO,O
,see,VB,O
,if,IN,O
,the,DT,O
,cables,NNS,B-component
,for,IN,O
,the,DT,O
,applicable,JJ,O
,air,NN,B-component
,outlet,NN,I-component
,are,VBP,O
,connected,VBN,O
,and,CC,O
,correctly,RB,O
,adjusted,VBN,O
,.,.,O
Sentence: 21,If,IN,O
,there,EX,O
,is,VBZ,O
,a,DT,O
,problem,NN,O
,with,IN,O
,the,DT,O
,cables,NNS,B-component
,",",",",O
,then,RB,O
,do,VBP,O
,these,DT,O
,steps,NNS,O
,.,.,O
Sentence: 22,If,IN,O
,it,PRP,O
,is,VBZ,O
,necessary,JJ,O
,",",",",O
,adjust,VBP,O
,the,DT,O
,cables,NNS,B-component
,.,.,O
Sentence: 23,Air,NNP,B-component
,Outlet,NNP,I-component
,Valve,NNP,B-null
,Control,NNP,O
,Cables,NNP,O
,Adjustment,NNP,O
,and,CC,O
,Test,NNP,O
,.,.,O
Sentence: 24,If,IN,O
,it,PRP,O
,is,VBZ,O
,necessary,JJ,O
,",",",",O
,replace,VBP,O
,the,DT,O
,cables,NNS,B-component
,.,.,O
Sentence: 25,Air,NNP,B-component
,Outlet,NNP,I-component
,Valve,NNP,B-null
,Control,NNP,O
,Cables,NNP,O
,Removal,NNP,O
,.,.,O
Sentence: 26,Air,NNP,B-component
,Outlet,NNP,I-component
,Valve,NNP,B-null
,Control,NNP,O
,Cables,NNP,O
,Installation,NN,O
,.,.,O
Sentence: 27,Do,VBP,O
,the,DT,O
,Repair,NNP,O
,Confirmation,NNP,O
,at,IN,O
,the,DT,O
,end,NN,O
,of,IN,O
,this,DT,O
,task,NN,O
,.,.,O
Sentence: 28,If,IN,O
,the,DT,O
,cables,NNS,B-component
,for,IN,O
,the,DT,O
,applicable,JJ,O
,air,NN,B-component
,outlet,NN,I-component
,are,VBP,O
,connected,VBN,O
,and,CC,O
,correctly,RB,O
,adjusted,VBN,O
,",",",",O
,then,RB,O
,continue,VB,O
,.,.,O
Sentence: 29,Do,VBP,O
,these,DT,O
,steps,NNS,O
,to,TO,O
,do,VB,O
,a,DT,O
,check,NN,O
,of,IN,O
,the,DT,O
,applicable,JJ,O
,windshield,NN,B-component
,and,CC,O
,foot,NN,B-component
,air,NN,I-component
,outlet,NN,I-component
,valve,NN,B-null
,.,.,O
Sentence: 30,Remove,NNP,O
,the,DT,O
,applicable,JJ,O
,windshield,NN,B-component
,and,CC,O
,foot,NN,B-component
,air,NN,I-component
,outlet,NN,I-component
,valve,NN,B-null
,.,.,O
Sentence: 31,Windshield,NNP,B-component
,and,CC,O
,Foot,NNP,B-component
,Air,NNP,I-component
,Outlet,NNP,I-component
,Valve,NNP,B-null
,Removal,NNP,O
,.,.,O
Sentence: 32,Do,VBP,O
,a,DT,O
,check,NN,O
,to,TO,O
,see,VB,O
,if,IN,O
,the,DT,O
,air,NN,O
,flow,NN,O
,from,IN,O
,the,DT,O
,open,JJ,O
,air,NN,O
,distribution,NN,O
,duct,NN,B-component
,where,WRB,O
,you,PRP,O
,removed,VBD,O
,the,DT,O
,valve,NN,B-component
,is,VBZ,O
,satisfactory,JJ,O
,.,.,O
Sentence: 33,If,IN,O
,the,DT,O
,air,NN,O
,flow,NN,O
,from,IN,O
,the,DT,O
,duct,NN,B-component
,is,VBZ,O
,satisfactory,JJ,O
,",",",",O
,then,RB,O
,do,VBP,O
,these,DT,O
,steps,NNS,O
,.,.,O
Sentence: 34,Replace,NNP,O
,the,DT,O
,windshield,NN,B-component
,and,CC,O
,foot,NN,B-component
,air,NN,I-component
,outlet,NN,I-component
,valve,NN,B-null
,with,IN,O
,a,DT,O
,new,JJ,O
,valve,NN,B-component
,.,.,O
Sentence: 35,Windshield,NNP,B-component
,and,CC,O
,Foot,NNP,B-component
,Air,NNP,I-component
,Outlet,NNP,I-component
,Installation,NN,O
,.,.,O
Sentence: 36,Do,VBP,O
,the,DT,O
,Repair,NNP,O
,Confirmation,NNP,O
,at,IN,O
,the,DT,O
,end,NN,O
,of,IN,O
,this,DT,O
,task,NN,O
,.,.,O
Sentence: 37,If,IN,O
,the,DT,O
,air,NN,O
,flow,NN,O
,from,IN,O
,the,DT,O
,duct,NN,B-component
,is,VBZ,O
,not,RB,O
,satisfactory,JJ,O
,",",",",O
,then,RB,O
,continue,VB,O
,.,.,O
Sentence: 38,Examine,NNP,O
,the,DT,O
,air,NN,O
,distribution,NN,O
,ducts,NNS,B-component
,for,IN,O
,the,DT,O
,applicable,JJ,O
,outlet,NN,B-component
,.,.,O
Sentence: 39,Look,VB,O
,for,IN,O
,leakage,NN,O
,or,CC,O
,blockage,NN,O
,in,IN,O
,the,DT,O
,air,NN,O
,distribution,NN,O
,ducts,NNS,B-component
,between,IN,O
,the,DT,O
,connection,NN,O
,to,TO,O
,the,DT,O
,valve,NN,B-component
,and,CC,O
,applicable,JJ,O
,air,NN,B-component
,outlet,NN,I-component
,.,.,O
Sentence: 40,Repair,NNP,O
,the,DT,O
,air,NN,O
,distribution,NN,O
,ducts,NNS,B-component
,or,CC,O
,remove,VB,O
,the,DT,O
,blockage,NN,O
,.,.,O
Sentence: 41,Install,NNP,O
,the,DT,O
,applicable,JJ,O
,windshield,NN,B-component
,and,CC,O
,foot,NN,B-component
,air,NN,I-component
,outlet,NN,I-component
,valve,NN,B-null
,.,.,O
Sentence: 42,Air,NNP,B-component
,Outlet,NNP,I-component
,Valve,NNP,B-null
,Control,NNP,O
,Cables,NNP,O
,Installation,NN,O
,.,.,O
Sentence: 43,Do,VBP,O
,the,DT,O
,Repair,NNP,O
,Confirmation,NNP,O
,at,IN,O
,the,DT,O
,end,NN,O
,of,IN,O
,this,DT,O
,task,NN,O
,.,.,O
Sentence: 44,If,IN,O
,the,DT,O
,Repair,NNP,O
,Confirmation,NNP,O
,is,VBZ,O
,not,RB,O
,satisfactory,JJ,O
,",",",",O
,then,RB,O
,continue,VB,O
,.,.,O
Sentence: 45,If,IN,O
,conditioned,VBN,O
,air,NN,O
,is,VBZ,O
,not,RB,O
,supplied,VBN,O
,to,TO,O
,the,DT,O
,flight,NN,B-component
,compartment,NN,I-component
,",",",",O
,do,VBP,O
,this,DT,O
,task,NN,O
,.,.,O
Sentence: 46,Supply,NNP,O
,Conditioned,NNP,O
,Air,NNP,O
,with,IN,O
,a,DT,O
,Cooling,NNP,O
,Pack,NNP,O
,.,.,O
Sentence: 47,Make,VB,O
,sure,JJ,O
,the,DT,O
,left,NN,O
,air,NN,B-component
,conditioning,NN,I-component
,pack,NN,I-component
,is,VBZ,O
,on,IN,O
,.,.,O
Sentence: 48,Pull,VB,O
,the,DT,O
,applicable,JJ,O
,FOOT,NNP,O
,AIR,NNP,O
,or,CC,O
,WINDSHIELD,NNP,B-component
,AIR,NNP,O
,knob,NN,O
,on,IN,O
,the,DT,O
,P,NN,O
,1,CD,O
,or,CC,O
,P,NN,B-component
,3,CD,I-component
,panel,NN,I-component
,to,TO,O
,open,VB,O
,to,TO,O
,applicable,JJ,O
,valve,NN,B-component
,.,.,O
Sentence: 49,If,IN,O
,the,DT,O
,air,NN,O
,flow,NN,O
,at,IN,O
,the,DT,O
,applicable,JJ,O
,outlet,NN,B-component
,is,VBZ,O
,satisfactory,JJ,O
,",",",",O
,then,RB,O
,you,PRP,O
,corrected,VBD,O
,the,DT,O
,fault,NN,O
,.,.,O
Sentence: 50,Do,VBP,O
,these,DT,O
,steps,NNS,O
,to,TO,O
,put,VB,O
,the,DT,O
,airplane,NN,B-component
,back,RB,O
,to,TO,O
,its,PRP$,O
,usual,JJ,O
,condition,NN,O
,.,.,O
Sentence: 51,Make,VB,O
,sure,JJ,O
,the,DT,O
,applicable,JJ,O
,knobs,NNS,O
,on,IN,O
,the,DT,O
,P,NN,O
,1,CD,O
,and,CC,O
,P,NN,B-component
,3,CD,I-component
,panel,NN,I-component
,",",",",O
,WINDSHIELD,NNP,B-component
,AIR,NNP,O
,and,CC,O
,FOOT,NNP,O
,AIR,NNP,O
,are,VBP,O
,pushed,VBN,O
,in,IN,O
,to,TO,O
,the,DT,O
,closed,VBN,O
,position,NN,O
,.,.,O
Sentence: 52,Remove,NNP,O
,Conditioned,NNP,O
,Air,NNP,O
,Supplied,NNP,O
,by,IN,O
,a,DT,O
,Cooling,NNP,O
,Pack,NNP,O
,.,.,O
Sentence: 53,Aft,NNP,O
,Passenger,NNP,O
,Cabin,NNP,B-component
,Temperature,NNP,O
,Indication,NNP,O
,Not,RB,O
,Correct,NNP,O
,.,.,O
Sentence: 54,The,DT,O
,AFT,NNP,O
,PASS,NNP,O
,CAB,NNP,O
,air,NN,O
,temperature,NN,O
,shown,VBN,O
,on,IN,O
,the,DT,O
,indicator,NN,B-component
,of,IN,O
,the,DT,O
,P,NN,O
,5,CD,O
,-,:,O
,17,CD,O
,cabin,NN,B-component
,temperature,NN,O
,panel,NN,B-component
,is,VBZ,O
,not,RB,O
,correct,JJ,O
,.,.,O
Sentence: 55,This,DT,O
,is,VBZ,O
,the,DT,O
,primary,JJ,O
,circuit,NN,B-component
,breaker,NN,I-component
,related,VBN,O
,to,TO,O
,the,DT,O
,fault,NN,O
,.,.,O
Sentence: 56,Supply,NNP,O
,conditioned,VBN,O
,air,NN,O
,with,IN,O
,the,DT,O
,right,NN,O
,cooling,VBG,B-component
,pack,NN,I-component
,.,.,O
Sentence: 57,Supply,NNP,O
,Conditioned,NNP,O
,Air,NNP,O
,with,IN,O
,a,DT,O
,Cooling,NNP,O
,Pack,NNP,O
,.,.,O
Sentence: 58,On,IN,O
,the,DT,O
,P,NN,O
,5,CD,O
,-,:,O
,17,CD,O
,cabin,NN,B-component
,temperature,NN,O
,panel,NN,B-component
,",",",",O
,put,VBP,O
,the,DT,O
,CONT,NNP,O
,CAB,NNP,O
,",",",",O
,FWD,NNP,O
,CAB,NNP,O
,and,CC,O
,AFT,NNP,O
,CAB,NNP,O
,temperature,NN,B-component
,selectors,NNS,I-component
,to,TO,O
,the,DT,O
,AUTO,NNP,O
,(,(,O
,12,CD,O
,:,:,O
,00,CD,O
,),),O
,position,NN,O
,.,.,O
Sentence: 59,Operate,NNP,O
,the,DT,O
,pack,NN,O
,for,IN,O
,two,CD,O
,minutes,NNS,O
,to,TO,O
,let,VB,O
,output,NN,O
,temperature,NN,O
,become,VB,O
,stable,JJ,O
,.,.,O
Sentence: 60,Use,NN,O
,a,DT,O
,thermometer,NN,B-component
,",",",",O
,STD-,NNP,O
,1122,CD,O
,to,TO,O
,determine,VB,O
,the,DT,O
,ambient,NN,O
,air,NN,O
,temperature,NN,O
,in,IN,O
,the,DT,O
,forward,RB,O
,and,CC,O
,aft,JJ,O
,zones,NNS,O
,of,IN,O
,the,DT,O
,passenger,NN,O
,cabin,NN,B-component
,.,.,O
Sentence: 61,Put,VB,O
,the,DT,O
,air,NN,O
,temperature,NN,B-component
,selector,NN,I-component
,on,IN,O
,the,DT,O
,P,NN,O
,5,CD,O
,-,:,O
,17,CD,O
,cabin,NN,B-component
,temperature,NN,O
,panel,NN,B-component
,to,TO,O
,the,DT,O
,AFT,NNP,O
,PASS,NNP,O
,CAB,NNP,O
,position,NN,O
,.,.,O
Sentence: 62,The,DT,O
,temperature,NN,O
,shown,VBN,O
,on,IN,O
,the,DT,O
,indicator,NN,B-component
,should,MD,O
,be,VB,O
,approximately,RB,O
,the,DT,O
,same,JJ,O
,as,IN,O
,the,DT,O
,ambient,NN,O
,air,NN,O
,temperature,NN,O
,.,.,O
Sentence: 63,Move,VB,O
,the,DT,O
,air,NN,O
,temperature,NN,B-component
,selector,NN,I-component
,on,IN,O
,the,DT,O
,P,NN,O
,5,CD,O
,-,:,O
,17,CD,O
,cabin,NN,B-component
,temperature,NN,O
,panel,NN,B-component
,to,TO,O
,the,DT,O
,FWD,NNP,O
,PASS,NNP,O
,CAB,NNP,O
,position,NN,O
,.,.,O
Sentence: 64,The,DT,O
,temperature,NN,O
,shown,VBN,O
,on,IN,O
,the,DT,O
,indicator,NN,B-component
,should,MD,O
,be,VB,O
,approximately,RB,O
,the,DT,O
,same,JJ,O
,as,IN,O
,the,DT,O
,ambient,NN,O
,air,NN,O
,temperature,NN,O
,.,.,O
Sentence: 65,If,IN,O
,the,DT,O
,temperature,NN,O
,on,IN,O
,the,DT,O
,indicator,NN,B-component
,is,VBZ,O
,not,RB,O
,correct,JJ,O
,for,IN,O
,the,DT,O
,two,CD,O
,positions,NNS,O
,",",",",O
,then,RB,O
,do,VBP,O
,the,DT,O
,Fault,NNP,O
,Isolation,NNP,O
,Procedure,NNP,O
,-,:,O
,Temperature,NNP,O
,Indication,NNP,O
,Not,RB,O
,Correct,NNP,O
,for,IN,O
,More,JJR,O
,Than,IN,O
,One,CD,O
,Position,NNP,O
,.,.,O
Sentence: 66,If,IN,O
,the,DT,O
,temperature,NN,O
,on,IN,O
,the,DT,O
,indicator,NN,B-component
,is,VBZ,O
,correct,JJ,O
,for,IN,O
,the,DT,O
,FWD,NNP,O
,PASS,NNP,O
,CAB,NNP,O
,position,NN,O
,",",",",O
,but,CC,O
,not,RB,O
,correct,JJ,O
,for,IN,O
,the,DT,O
,AFT,NNP,O
,PASS,NNP,O
,CAB,NNP,O
,position,NN,O
,",",",",O
,then,RB,O
,do,VBP,O
,the,DT,O
,Fault,NNP,O
,Isolation,NNP,O
,Procedure,NNP,O
,-,:,O
,Temperature,NNP,O
,Indication,NNP,O
,Not,RB,O
,Correct,NNP,O
,for,IN,O
,One,CD,O
,Position,NNP,O
,.,.,O
Sentence: 67,If,IN,O
,the,DT,O
,temperature,NN,O
,on,IN,O
,the,DT,O
,indicator,NN,B-component
,is,VBZ,O
,correct,JJ,O
,for,IN,O
,the,DT,O
,AFT,NNP,O
,PASS,NNP,O
,CAB,NNP,O
,and,CC,O
,the,DT,O
,FWD,NNP,O
,PASS,NNP,O
,CAB,NNP,O
,positions,NNS,O
,",",",",O
,then,RB,O
,there,EX,O
,was,VBD,O
,an,DT,O
,intermittent,JJ,O
,fault,NN,O
,.,.,O
Sentence: 68,Do,VBP,O
,this,DT,O
,check,NN,O
,for,IN,O
,28,CD,O
,VDC,NNP,O
,at,IN,O
,the,DT,O
,cabin,NN,B-component
,temperature,NN,B-component
,indicator,NN,I-component
,.,.,O
Sentence: 69,Lower,JJR,O
,the,DT,O
,P,NN,O
,5,CD,O
,overhead,NN,B-component
,panel,NN,I-component
,to,TO,O
,get,VB,O
,access,NN,O
,to,TO,O
,electrical,JJ,O
,connector,NN,B-component
,D,NNP,I-component
,90,CD,I-component
,for,IN,O
,Cabin,NNP,B-component
,Temperature,NNP,B-component
,Indicator,NNP,I-component
,",",",",O
,N,NNP,O
,11,CD,O
,.,.,O
Sentence: 70,Do,VBP,O
,a,DT,O
,check,NN,O
,for,IN,O
,28,CD,O
,VDC,NNP,O
,between,IN,O
,pin,NN,B-component
,2,CD,O
,of,IN,O
,connector,NN,B-component
,D,NNP,I-component
,90,CD,I-component
,and,CC,O
,structure,NN,O
,ground,NN,O
,.,.,O
Sentence: 71,If,IN,O
,there,EX,O
,is,VBZ,O
,not,RB,O
,28,CD,O
,VDC,NNP,O
,at,IN,O
,pin,NN,B-component
,2,CD,O
,of,IN,O
,D,NNP,O
,90,CD,O
,",",",",O
,then,RB,O
,do,VBP,O
,these,DT,O
,steps,NNS,O
,.,.,O
Sentence: 72,Repair,NNP,O
,the,DT,O
,wiring,NN,O
,between,IN,O
,pin,NN,B-component
,2,CD,O
,of,IN,O
,D,NNP,O
,90,CD,O
,and,CC,O
,circuit,NN,B-component
,breaker,NN,I-component
,C,NNP,O
,00076,CD,O
,.,.,O
Sentence: 73,Close,NNP,O
,the,DT,O
,P,NN,O
,5,CD,O
,overhead,NN,B-component
,panel,NN,I-component
,.,.,O
Sentence: 74,Do,VBP,O
,the,DT,O
,Repair,NNP,O
,Confirmation,NNP,O
,at,IN,O
,the,DT,O
,end,NN,O
,of,IN,O
,this,DT,O
,task,NN,O
,.,.,O
Sentence: 75,If,IN,O
,there,EX,O
,is,VBZ,O
,28,CD,O
,VDC,NNP,O
,at,IN,O
,pin,NN,B-component
,2,CD,O
,of,IN,O
,D,NNP,O
,90,CD,O
,",",",",O
,then,RB,O
,continue,VB,O
,.,.,O
Sentence: 76,Do,VBP,O
,a,DT,O
,resistance,NN,O
,check,NN,O
,between,IN,O
,the,DT,O
,bonding,NN,B-component
,jumper,NN,I-component
,at,IN,O
,the,DT,O
,upper,JJ,O
,left,JJ,O
,corner,NN,O
,of,IN,O
,the,DT,O
,P,NN,O
,5,CD,O
,forward,RB,O
,overhead,NN,B-component
,panel,NN,I-component
,and,CC,O
,the,DT,O
,airplane,NN,B-component
,structure,NN,O
,.,.,O
Sentence: 77,Make,VB,O
,sure,JJ,O
,that,IN,O
,the,DT,O
,resistance,NN,O
,is,VBZ,O
,not,RB,O
,more,JJR,O
,than,IN,O
,the,DT,O
,value,NN,O
,specified,VBN,O
,in,IN,O
,Standard,NNP,O
,Wiring,NNP,O
,Practices,NNPS,O
,Manual,NNP,O
,20,CD,O
,-,:,O
,20,CD,O
,-,:,O
,10,CD,O
,",",",",O
,5,CD,O
,.,.,O
,D,NNP,O
,.,.,O
Sentence: 78,If,IN,O
,the,DT,O
,resistance,NN,O
,is,VBZ,O
,greater,JJR,O
,than,IN,O
,allowed,VBN,O
,",",",",O
,repair,NN,O
,the,DT,O
,installation,NN,O
,of,IN,O
,the,DT,O
,bonding,NN,B-component
,jumper,NN,I-component
,with,IN,O
,the,DT,O
,SWPM,NNP,O
,20,CD,O
,-,:,O
,20,CD,O
,-,:,O
,10,CD,O
,instructions,NNS,O
,.,.,O
Sentence: 79,Do,VBP,O
,the,DT,O
,Repair,NNP,O
,Confirmation,NNP,O
,at,IN,O
,the,DT,O
,end,NN,O
,of,IN,O
,this,DT,O
,task,NN,O
,.,.,O
Sentence: 80,Close,NNP,O
,the,DT,O
,P,NN,O
,5,CD,O
,forward,RB,O
,overhead,NN,B-component
,panel,NN,I-component
,.,.,O
Sentence: 81,Replace,NNP,O
,the,DT,O
,Cabin,NNP,B-component
,Temperature,NNP,B-component
,Indicator,NNP,I-component
,N,NNP,O
,11,CD,O
,.,.,O
Sentence: 82,These,DT,O
,are,VBP,O
,the,DT,O
,tasks,NNS,O
,.,.,O
Sentence: 83,Cabin,NNP,B-component
,Temperature,NNP,B-component
,Indicator,NNP,I-component
,Removal,NNP,O
,.,.,O
Sentence: 84,Cabin,NNP,B-component
,Temperature,NNP,B-component
,Indicator,NNP,I-component
,Installation,NN,O
,.,.,O
Sentence: 85,Do,VBP,O
,the,DT,O
,Repair,NNP,O
,Confirmation,NNP,O
,at,IN,O
,the,DT,O
,end,NN,O
,of,IN,O
,this,DT,O
,task,NN,O
,.,.,O
Sentence: 86,Replace,NNP,O
,the,DT,O
,Air,NNP,O
,Temperature,NNP,B-component
,Selector,NNP,I-component
,",",",",O
,S,NNP,O
,1,CD,O
,.,.,O
Sentence: 87,Do,VBP,O
,the,DT,O
,Repair,NNP,O
,Confirmation,NNP,O
,at,IN,O
,the,DT,O
,end,NN,O
,of,IN,O
,this,DT,O
,task,NN,O
,.,.,O
Sentence: 88,Fault,NNP,O
,Isolation,NNP,O
,Procedure,NNP,O
,-,:,O
,Temperature,NNP,O
,Indication,NNP,O
,Incorrect,NNP,O
,One,CD,O
,Position,NNP,O
,.,.,O
Sentence: 89,This,DT,O
,procedure,NN,O
,isolates,VBZ,O
,the,DT,O
,fault,NN,O
,to,TO,O
,one,CD,O
,of,IN,O
,these,DT,O
,possible,JJ,O
,causes,NNS,O
,.,.,O
Sentence: 90,Do,VBP,O
,this,DT,O
,test,NN,O
,of,IN,O
,the,DT,O
,fan,NN,B-component
,in,IN,O
,the,DT,O
,temperature,NN,B-component
,sensor,NN,I-component
,assembly,NN,O
,for,IN,O
,the,DT,O
,aft,JJ,O
,passenger,NN,O
,cabin,NN,B-component
,.,.,O
Sentence: 91,Hold,VB,O
,a,DT,O
,3,CD,O
,inch,NN,O
,by,IN,O
,4,CD,O
,inch,NN,O
,sheet,NN,O
,of,IN,O
,lightweight,JJ,O
,paper,NN,O
,over,IN,O
,the,DT,O
,air,NN,B-component
,inlet,NN,I-component
,grille,NN,O
,of,IN,O
,the,DT,O
,temperature,NN,B-component
,sensor,NN,I-component
,assembly,NN,O
,.,.,O
Sentence: 92,Make,VB,O
,sure,JJ,O
,that,IN,O
,the,DT,O
,fan,NN,B-component
,holds,VBZ,O
,the,DT,O
,paper,NN,O
,in,IN,O
,its,PRP$,O
,position,NN,O
,.,.,O
Sentence: 93,If,IN,O
,the,DT,O
,vacuum,NN,O
,from,IN,O
,the,DT,O
,fan,NN,B-component
,will,MD,O
,not,RB,O
,hold,VB,O
,the,DT,O
,paper,NN,O
,in,IN,O
